title,description,published_date,channel_id,category,duration,total_views,total_likes,total_comments,video_extracted_date,video_id
Coraline Web Trailer HD,"Visit http://www.coraline.com 
In theatres now! 
From the director of The Nightmare Before Christmas. 
Based on the award-winning childrens book by Neil Gaiman.
A fairytale nightmare handmade in 3D. 
Featuring the voices of Dakota Fanning, Teri Hatcher, John Hodgman and Ian McShane.",2009-01-22T23:15:28Z,UCuCfoZJkgvHI--viKNSgGTA,Film & Animation,129,3202098,7657,1523,2023-08-26T17:49:32.766554,Js7wxoqeVK0
Crank: High Voltage (2009) - Official Trailer,"In this high-octane sequel, hitman Chev Chelios (Statham) launches himself on an electrifying chase through Los Angeles in pursuit of the Chinese mobster who has stolen his nearly indestructible heart. CRANK: HIGH VOLTAGE is written and directed by Neveldine/Taylor, the duo behind the 2006 hit film CRANK, and the upcoming GAME starring Gerard Butler.",2009-01-27T15:55:40Z,UCJ6nMHaJPZvsJ-HmUmj1SeA,Entertainment,152,4757080,11866,1295,2023-08-26T17:49:46.406759,t2koYVqwzT4
Bridge to Terabithia - trailer,Bridge to Terabithia (Most do Terabithii) - trailer,2009-01-30T22:56:14Z,UCge2SpaZkvWOZdFSN55FEtA,Film & Animation,120,2740185,23014,2021,2023-08-26T17:48:10.439218,T2TDSEG57hI
"""Captain America"" (1990) Trailer","""Captain America"" is a 1990 Action Adventure film directed by Albert Pyun. Starring Matt Salinger, Scott Paulin, Ronny Cox, Ned Beatty and Darren McGavin. Steve Rogers is injected with the Super Soldier formula, becoming Captain America as a last ditch effort to thwart a psychopathic Nazi agent known as the Red Skull from launching a Missile at the United States during the height of World War II. Trapping himself in the Arctic by deflecting the rocket, Rogers is freed 50 years later to find that not only is the world a much different place...but the Red Skull is still alive and still a menace.",2009-02-06T22:59:28Z,UCzuW61RdUKYobMLJs-6_DQg,Film & Animation,79,3298172,3141,1320,2023-08-26T17:46:26.683461,cs8rFsmhNTc
Goodfellas - Trailer - (1990) - HQ,"Trailer for Martin Scorsese's film starring Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese,",2009-02-17T04:01:40Z,UCDUXMcisuYMh4DEe6SzfItA,Film & Animation,180,5316947,18896,2092,2023-08-26T17:42:01.386205,qo5jJpHtI1Y
Mary & Max - Official Trailer,"For More on ""Max & Mary"" Visit:
http://www.webwombat.com.au/entertainment/

MAX AND MARY - OFFICIAL TRAILER

This is the trailer to Adam Elliot's follow up to the Oscar Award Winning film ""Hervey Krumpet"". It stars Phillip Seymour Hoffman plus a plethora of Australian stars.",2009-03-12T00:17:18Z,UC4-jE9wthefFpRRjE9Ukfrw,Film & Animation,126,2752266,8984,1136,2023-08-26T17:50:12.255731,MgRjB8PEDkM
Rupert Grint: Cherrybomb: Official Trailer,"Also check out the NEW Theatrical trailer on our channel.

http://www.youtube.com/watch?v=K0hhaXIRG3o



This is the Official Trailer For Rupert Grint's new film Cherrybomb. Starring Rupert Grint, Kimberley Nixon and Robert Sheehan. Directed by Lisa D'sa Barros and Glenn Leyburn. 

With their exams over, best friends Malachy and Luke are out to have one hell of a summer. However, the arrival of Michelle, a captivating but troubled beauty, tests their friendship to the limit as she encourages the two boys to carry out increasingly dangerous and illegal deeds in the battle for her affections  with fatal consequences.
Generator Entertainment, The Little Film Company. 

Music in the trailer:  Being Kong by Twinkranes. 
You can also check out our playlist and listen to the bands featured on the CB Soundtrack.
http://www.youtube.com/my_playlists



The Official Cherrybomb Movie Site is now OPEN. Check it out now. http://www.cherrybombmovie.net

Other Cherrybomb Sites:


All Content And Credit goes to The Little Film Company and Generator Entertainment.",2009-04-07T16:41:01Z,UCpVg69sEAFGzW95JCxoBmSw,Film & Animation,99,1682160,3874,1165,2023-08-26T17:50:56.726889,zBZ8mTtoI9I
Venom (trailer),"http://video.movies.go.com/products/04954600.html
Actors: Agnes Bruckner, Jonathan Jackson, Meagan Good, Bijou Phillips, Laura Ramsey
Directors: Jim Gillespie
Writers: Flint Dille, Brandon Boyce, John Zuur Platten
Producers: Andrew Rona, Bob Weinstein, Brad Weston, Flint Dille

VENOM is a fright-filled voodoo thriller loaded with a sizzling cast of the screen's hottest young stars.",2009-04-12T07:29:22Z,UC5LRQH-uebZh5AKUuxyX_Fw,Film & Animation,149,13921251,6007,2451,2023-08-26T17:47:15.276666,zXhD8nc4zFY
Fallen Art \ Sztuka spadania [HD],"Название: Искусcтво падения
Оригинальное название: Fallen Art / Sztuka spadania
Год выхода: 2004
Жанр: Мультфильм, короткометражка
Режиссер: Томек Багински
В ролях: Сержант Эл, Доктор Фридрих, Генерал А

Выпущено: Platige Image, Poland
Продолжительность: 00:06:00",2009-05-19T08:13:59Z,UCiiZBA2Xp4C0-DsxTxNSK0w,Film & Animation,361,3203221,38668,1241,2023-08-26T17:48:59.775662,46QaOikFYhM
Small Soldiers Trailer,Small Soldiers Trailer,2009-06-02T18:14:01Z,UCt-RGtS0lhO18fQfTPAOSOQ,Film & Animation,134,2155204,8189,1181,2023-08-26T17:42:17.852736,YwIt5wagRsg
PANDORUM - HD TRAILER,"From the producers of the Resident Evil film franchise comes Pandorum, a terrifying thriller in which two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. 

Come and check out some of our other new channels!
Richard Simmons Dream Maker: http://bit.ly/2ueqelz

The two soon discover they're actually not alone -- and the reality of their situation is more horrifying than they could have imagined. Tags: Ben Foster, Dennis Quaid, Action, Horror, Movie Trailer, Resident Evil, Overture Films, Science Fiction, Space",2009-06-09T17:11:21Z,UCIL5Xh_Xdt8bWxLE1fDilIw,Film & Animation,140,3295474,4870,1394,2023-08-26T17:50:05.145160,PItZ-qr9jG8
2012 Trailer #1,"Release Date: 13 November (United States)
From Roland Emmerich, director of THE DAY AFTER TOMORROW and INDEPENDENCE DAY, comes the ultimate action-adventure film, exploding with groundbreaking special effects. As the world faces a catastrophe of apocalyptic proportions, cities collapse and continents crumble. 2012 brings an end to the world and tells of the heroic struggle of the survivors. Starring John Cusack, Chiwetel Ejiofor, Amanda Peet, Woody Harrelson and Danny Glover.

Genre: Action / Adventure / Sci Fi
Cast: John Cusack, Danny Glover, Woody Harrelson, George Segal, Amanda Peet, Chiwetel Ejiofor, Oliver Platt, Thandie Newton, Tom McCarthy
Director: Roland Emmerich
Screenplay By: Roland Emmerich, Harald Kloser

Subscribe to Sony Pictures for more great content: http://bit.ly/SonyPicsSubscribe",2009-06-10T21:01:30Z,UCz97F7dMxBNOfGYu3rx8aCw,Film & Animation,79,3751985,9962,2423,2023-08-26T17:50:16.202681,sFXGrTng0gQ
"""Contact"" Theatrical Trailer (1997)","Contact is a 1997 science fiction drama film adapted from the Carl Sagan novel of the same name and directed by Robert Zemeckis. Both Sagan and wife Ann Druyan wrote the story outline for the film adaptation of Contact. Jodie Foster portrays the film's protagonist, Dr. Eleanor ""Ellie"" Arroway, a SETI scientist who finds strong evidence of extraterrestrial life and is chosen to make first contact. Supporting roles are played by Matthew McConaughey, James Woods, Tom Skerritt, William Fichtner, John Hurt, Angela Bassett and David Morse.",2009-06-18T02:47:44Z,UCN_vH9V-7kyTLkf6LGpdfRw,Film & Animation,148,2615614,8394,1230,2023-08-26T17:42:09.960791,SRoj3jK37Vc
Zombieland Official Trailer #1,"Release Date: 2 October 2009 (United States)
Nerdy college student Columbus (Jesse Eisenberg) has survived the plague that has turned mankind into flesh-devouring zombies because he's scared of just about everything. Gun-toting, Twinkie-loving Tallahassee (Woody Harrelson) has no fears. Together, they are about to stare down their most horrifying challenge yet: each other's company. Emma Stone and Abigail Breslin co-star in this double-hitting, head-smashing comedy.

Genre: Comedy / Horror
Cast: Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin
Director: Ruben Fleischer
Screenplay By: Rhett Reese, Paul Wernick

Subscribe to Sony Pictures for more great content: http://bit.ly/SonyPicsSubscribe",2009-06-24T17:25:25Z,UCz97F7dMxBNOfGYu3rx8aCw,Film & Animation,124,7819320,42354,1553,2023-08-26T17:50:09.906520,8m9EVP8X7N8
