title,description,published_date,channel_id,category,duration,total_views,total_likes,total_dislikes,total_comments,video_extracted_date,thumbnail,topic_categories,video_id,transcription
Traveling around seeing the uniqueness of the Lautze Mosque in Chinese style |News of tvOne evening,"Jakarta, https://www.tvonosews.com - Walking around seeing the uniqueness of the Lautze Mosque in Chinese style |News of tvOne evening

There are buildings like a shop in a bright yellow color appear striking between a series of other shops.It is located on the edge of Jalan Lautze, Karanganyar, Sawah Besar, Central Jakarta.For those who pass by, at first glance might think the building is a temple, seen from the color of the walls dominated by red and yellow.Not to mention, additional lantern accessories that hung right on the right and left of the entrance, adding the impression of the typical Chinese community.

Watch live streaming tvone only at https://www.tvonews.com/live",2022-04-22T12:10:12Z,UCER4rvDnRBPr_ncYW4UCZjg,News & Politics,246.0,24483,635,0,102,2023-11-07T11:03:20.218069,https://i.ytimg.com/vi/5TSAGlNy4tw/hqdefault.jpg,https://en.wikipedia.org/wiki/Society,5TSAGlNy4tw,"There is also a mosque in the Sawah Besar area of ​​Central Jakarta, which must be very familiar with the mosque building with its color all red. The village I know is the machine that became this mosque. Viewers have a unique architectural style typical of Chinese, but is its authenticity still maintained? Let's look at the coverage from TV One reporter Mari.  Assegaf and cameraman Rashid Hartadi below Hi Kutetap you may see this mosque is different from the other Masih in general in that it is not easily changed and the tower when you enter the mosque there are various nuances of architecture even down to the Chinese nuanced colors. This mosque has been home to thousands  converts to learn various things, starting from the etiquette of behavior in Islam, reciting the Koran, praying, fasting and also others [Music] initial wa Ashhadu Anna Muhammad I am lucky that the chanting of the two sentences of the shahada can be heard from inside the Lautze Mosque. Hi, a warm and emotional atmosphere is created. Hi, according to one of the administrators Mosque: 99% of those who embrace Islam in this mosque are ethnic Chinese, both from within the country and from various other countries, the first intention is or they just want to ask questions about the second religion, sometimes it rises or they already have the intention of ciphering that they want to be guilty.  and wanting to become a convert to Islam, Debby is still Laut. Apart from that, as soon as they came, they immediately stated that, as we saw earlier, the veiling took place spontaneously. Today, she also asked to be made aware of that, asked to be guided when and to become a convert, Laisa, maybe in Arabic it can be interpreted as Ustad, or in Indonesian.  a big teacher, a very respected person who later, if possible, if you can count more than 90 of his cellphones, he is of Chinese descent, but the rest of the tuning is Yahoo from foreigners, there are also many American traders, Indian, Japanese, Korean water pegs, but the majority of these are people of Chinese descent.  which is around Jabotabek, the Sauce Mosque has been established since 1997 and was founded by an ethnic Chinese convert named Karim Oi and until now is still a home for Indonesian Muslims and those of Chinese descent to study and deepen Islam. This Lautze Mosque is a silent witness to thousands of ethnic Chinese who  converts to Islam, even at the entrance to this mosque there is a board that says the number of residents, especially Chinese, who have converted to Islam and also recited the two sentences of the creed in the mosque. In total, up to now there are 1693 people who have recited the two sentences of the creed in the mosque.  Since the year Cut, this mosque's enthusiasm for broadcasting the Islamic religion is what makes Lautse Mosque provide guidance for those who want to study Islam. As the name Lautse or in Mandarin means teacher, it is hoped that this mosque can become a home for anyone who wants to learn and embrace Islam from  Jakarta Mari Assegaf Rashid treasure on TV One reporting [Music]"
Jurgen Klopp Hails Mesut Ozil,"Jurgen Klopp says Mesut Ozil is the 'perfect' player as he held a training session at the Emirates Stadium in London, England on Monday ahead of Borussia Dortmund's Group F match against Arsenal in the UEFA Champions League.

""He (Arsene Wenger) took (Mathieu) Flamini for zero. Good idea! And then he took Mesut (Ozil) for some money. I think he is a player... this team is one player and maybe this is Mesut Ozil. Now they have some injuries and they are (still) pretty strong. I think one year ago nobody could imagine that it is possible that they could play good football without (Santi) Carzola."" - Jurgen Klopp

THE Sports News Channel on YouTube: http://bit.ly/SportsNewsTelevision

Breaking sports news:
http://www.youtube.com/sntv

Follow sntv on Twitter:
http://www.twitter.com/sntv

sntv:
http://www.sntv.com",2013-10-21T20:55:21Z,UC5yB3mDwRyLNeRvfCSdKMeg,Sports,89.0,239099,1212,0,102,2023-11-07T11:03:20.206086,https://i.ytimg.com/vi/7cMip_QHAZE/hqdefault.jpg,"https://en.wikipedia.org/wiki/Association_football, https://en.wikipedia.org/wiki/Sport",7cMip_QHAZE,he's a great player good friend of mine and but if you if you say he's the only player of Arsenal it would be disrespectful against all the other great players so but I can say that he is a big part of the team an important part of the team was a dogma so I'm 46 in some case of life it's not so young in some case of Lightwoods young enough and I have to work when I want to work for a few more years and maybe in future yes my English is better and better than dead and then I understand people from Liverpool and Manchester and maybe I and somebody asked me I will come to England and go in your nerves and then we will see but in this moment it's no it's no chance to think about it and I think this is then it took Flamini well zero it's true good idea and then he took measured for some money and I think it's the player who this team missed one player and then this is maybe this is my suit can be miss elusive and together now now they have some injuries and they are pretty strong and I think one year ago nobody could imagine that it's possible that they can play good football maybe brilliant football without Quezada
OTW GEREJA SAMBELIA LOMBOK TIMUR,into,2019-12-09T10:30:58Z,UCkTHm7O6omzWDB0m88QoYqw,Autos & Vehicles,240.0,10377,77,0,106,2023-11-07T11:03:20.238066,https://i.ytimg.com/vi/sCy5TYWmQAE/hqdefault.jpg,https://en.wikipedia.org/wiki/Religion,sCy5TYWmQAE,universe
FBI warns against public phone charging stations,"Hackers are using public phone charging stations to track devices according to a warning from the FBI. CEO of GlobalSecurityIQ Holly Hubert, a former FBI supervisory special agent, explains what to be wary of when looking for a place to charge a phone.

#news #tech #privacy 

CBS News Streaming Network is the premier 24/7 anchored streaming news service from CBS News and Stations, available free to everyone with access to the Internet. The CBS News Streaming Network is your destination for breaking news, live events and original reporting locally, nationally and around the globe. Launched in November 2014 as CBSN, the CBS News Streaming Network is available live in 91 countries and on 30 digital platforms and apps, as well as on CBSNews.com and Paramount+.

Subscribe to the CBS News YouTube channel: https://youtube.com/cbsnews
Watch CBS News: https://cbsn.ws/1PlLpZ7c
Download the CBS News app: https://cbsn.ws/1Xb1WC8
Follow CBS News on Instagram: https://www.instagram.com/cbsnews/
Like CBS News on Facebook: https://facebook.com/cbsnews
Follow CBS News on Twitter: https://twitter.com/cbsnews
Subscribe to our newsletters: https://cbsn.ws/1RqHw7T
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",2023-04-11T18:05:24Z,UC8p1vwvWtl6T73JiExfWs1g,News & Politics,256.0,31318,518,0,106,2023-11-07T11:03:20.251064,https://i.ytimg.com/vi/omSrgmrfa3A/hqdefault.jpg,https://en.wikipedia.org/wiki/Society,omSrgmrfa3A,">>> IF YOUR TELEPHONE IS ABOUT  TO DIE AT THE AIRPORT OR WALL  AT YOUR HOTEL, APPARENTLY, YOU  SHOULD NOT USE A PUBLIC  CHARGING STATION.  THE FBI SAYS, WHEN YOU NEED A  BOOST USE YOUR OWN CORD AND  PLUG INSTEAD.  SHARED CHARGERS COULD BE  SPREADING MALWARE AND MONITORING SOFTWARE TO YOUR DEVICE.  ONCE YOU PLUG INTO COMPROMISED  PORT, HACKERS CAN ACCESS YOUR  LOCATION ON PRIVATE INFORMATION  STORED ON YOUR TELEPHONE. WAS  TALKED TO HOLLY HUBERT, CEO OF  GLOBAL SECURITY IQ AND FORMER  FBI SUPERVISORY SPECIAL AGENT.  THIS IS REMARKABLE.  I CAN SEE WHERE PUBLIC CHARGING  STATION ON THE STREET COULD BE  SUSCEPTIBLE TO MALWARE OR  SPYWARE.  IN YOUR HOTEL ROOM, LIKE A  FANCY FOUR SEASONS? YOUR STORY  WITH PLUG YOUR PHONE INTO THE  PROVIDED USB CHARGER?  >> UNFORTUNATELY, WHEREVER  THERE IS OPPORTUNITY, CRIMINALS  WILL GO.  THIS IS ANOTHER THREAT SURFACE  FOR ATTACKERS TO STEAL YOUR  DATA.  >> HOW ARE HACKERS ABLE TO DO  THIS.  WE SEE THEM ON ATMs IN NEW YORK. ALSO A LAMP THAT HAS USB PLUG  IN.  HOW ARE THEY ABLE TO DO THIS?  >> ACTUAL COMPROMISE RESIDES ON  THE USB DEVICE IT'S SELF.  IT IS IMPORTANT FOR PEOPLE TO  KNOW THAT YOUR CABLE IS USED  FOR CHARGING.  IT IS ALSO USED FOR DATA  TRANSFER. WE PLUG IN AND UPLOAD  YOUR PICTURES TO OUR HOME  LAPTOP, THE CABLE IS USED FOR  DATA TRANSFER.  THEY DO MAKE CABLES JUST FOR  CHARGING TO HELP PREVENT THIS  TYPE OF ATTACK.  WHEN YOU PLUG YOUR DEVICE IN,  IF THERE IS A MALICIOUS CODE OR  COMPROMISE ON THE USB THAT YOU  ARE PLUGGING INTO, DATA CAN BE  EXPELLED OR EXTRACTED FROM THE  CABLE.  >> THERE IS DATA ON THE CABLE  BOX THE CABLE YOU ARE HOLDING  UP?  >> THE DATA IS ABLE TO BE  TRANSMITTED ON THE CABLE.  FOR EXAMPLE, WHEN YOU HAVE YOUR  HOME iPHONE AND YOU PLUG IT  INTO YOUR HOME COMPUTER, YOU  ARE ABLE TO UPLOAD YOUR FIGHTERS PHOTOS, FOR EXAMPLE AND OTHER  DATA.  THAT THAT IT TRANSMITS THROUGH  THE CABLE.  IN THIS CASE OF THIS THREAT,  THE ACTUAL MALICIOUS CODE  RESIDES ON THE USB ITSELF THAT  YOU ARE PLUGGING INTO.  >> A COUPLE OF THINGS YOU HAVE  HIGHLIGHTED.  ONE IS THAT THE MALWARE EXISTS  ON THAT SPECIFIC CHARGING  STATION YOU MAY BE USING.  WHICH WOULD MEAN A NEFARIOUS  ACTOR INSTALLED IT SPECIFICALLY  ON THAT DEVICE OR IN THAT HOTEL  ROOM OR AT THE AIRPORT KIOSK.  >> THAT IS RIGHT.  >> HOW MUCH OF A THREAT IS IT?  >> I DO NOT THINK THERE IS DATA  ON HOW WIDESPREAD IT IS YET.  HOWEVER, MORE AND MORE WHEN YOU  GO INTO AIRPORTS, YOU SEE MORE  AND MORE FOR CONVENIENCE  CHARGING STATIONS.  THERE ARE ALSO DEVICES THAT ARE  MULTI-PORT USB., ACTOR COULD  PLUG ONE IN AND YOU MAY THINK  THE AIRPORT PUT IT THERE OR A  VENDOR PUT IT THERE.  WAS ACTUALLY A NEFARIOUS THREAT  AFTER THAT POINT IN A PORT.  AND TRY TO GET INNOCENT  INDIVIDUALS TO PUT THEIR PHONE  IN.  >> SEC STARTED WARNING ABOUT  THIS AND 2021.  WE ARE IN 2023.  WHY HASN'T IT BEEN TALKED ABOUT  MORE AND WHY HASN'T NOT BEEN  STOPPED?  >> IT IS DIFFICULT TO STOP.  THE MALICIOUS CODE IS INVITED  ON THE DEVICE ITSELF, IN WHICH  YOU PLUG IN TO 'S DIFFICULT TO  DETECT.  ALL ORGANIZATIONS SHOULD BE  DOING GOOD THREAT ASSESSMENT  AND RISK ASSESSMENT AND  VULNERABILITY IDENTITY. PERHAPS  AIRPORTS AND OTHERS SHOULD BE  CHECKING FOR THIS THING TO  PROTECT CONSUMERS.  >> IMAGINE RUNNING A VIRUS SCAN  OF THE PLUG IN.  HOLLY HUBERT, THANK YO"
Guntur Soekarno was hit by Prank SBY about the title of National Hero Bung Karno,"TRIBUN-VIDEO.COM - Guntur Soekarnoputra tells when his father, Ir.Soekarno (Bung Karno) was lined up as a national hero in the era of President Susilo Bambang Yudhoyono (SBY).

Guntur claimed not to know the process until his father was appointed as a national hero in the SBY era.

""If the process I don't (know) Bung Karno is then given the title of National Hero.""

""Only (that) I was invited to represent (my family),"" Guntur said during a special interview session with the Director of Tribune Network Febby Mahendra Putra at the Tribune Office, Jakarta, Tuesday (8/30/2022).",2022-09-02T08:16:43Z,UCmxAIW7RDDC88EPk4ry16Kg,News & Politics,286.0,61189,432,0,102,2023-11-07T11:03:20.223066,https://i.ytimg.com/vi/q_z7MEeDACA/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",q_z7MEeDACA,"badges0 Hi, during the reign of Pak Susilo Bambang Yudhoyono and coincidentally representing the family to receive it, it was Masto as the eldest son. Can you tell me about the process of how Bung Karno got the title of national hero? If it was the process, I don't know, wait, then he was given the title of national hero. Yes, only when I was invited  Yes, to represent Yes, I like it or not. Oh, I'm not embarrassed at first, I want to do that. Hi, there will be a meeting, pretending to be negligent if not. Greetings. The meeting will be at Teuku Umar's residence, yes, there will be various party figures from there, Sir, who did you used to be, what did you do, Mr. Jimly?  Asshiddiqie jimly Asshiddiqie yes, what was he like in the past? Maybe he was the chairman of the NKB, I forgot, Oh yes, I told MB Sulis. Yes, the one you gave the mandate to represent your family is Omega, which means I can be proud of being an artist. Well, I don't want Omega to squeeze it if it's still there, Mas  I'm older, Hello, I just accept it like this, I don't want to, Hi, bro, just try, Elsa says you're welcome, her first daughter-in-law is Sriaji Swasono, yes, I was leading, I don't want to either, Hi, what at that time, Mas, do you know what color you don't want to call, bro? Oh yes, Hi. If you just ask me to come, I will be given anything. Hi, I will be given a certificate publication award for Bung Karno, a national hero, something like that, what do you want me to do, then sir, what kind of shop will it be when I do it? Hi President SBY, after handing over the National Hero's sash, yes, you have to have the courage to make a speech saying that Hi  invitation a Hi law Number 33 hi oh mpls 676 which stated that Bung Karno could be suspected of being involved in the PKI, yes, who had to have the courage to speak. That was automatically revoked, yes, or no longer valid because there was a Dutch national hero title, a national hero title. Oh yes, I've told you, sir.  jimly Tell it to Mr jimly, of course you don't know what SMS and Faceby did at that time, it seems like there was an answer from SBY, he gave me a lot of looks. Hi, the president is willing to state what he's doing openly. Yes, as requested, Sir, I was asked as a party. If that's the case, witness Madrid, yes, I'm present.  that's the end of it Hi well, it looks like SB has come to the palace to give an award to the heat Hi no or yes but there's no mention of it, it's not a mention as requested, I'm a bit uncomfortable, what the heck, the president made a promise, don't look at it, I've seen what it is, it's a short message, SMP Aw what? If you want to give a speech about the MPRS decision 3367 regarding Bungkarno, it's not appropriate to be suspected of being involved in this. 20 Elkoga are alluded to at all, just being a national hero. Hi, that's actually a long way down. I think if it was a speech, you would expect that, but it didn't happen, okay? Master didn't protest at that time, who was protesting to Mr. Jimly or to SBY? Oh, the speech, then Mr. SBY, next time I have [Music]"
Dafabet: Romelu Lukaku on Mesut Ozil,into,2016-06-16T18:06:04Z,UC0mtMuZ98to9IZaprrKL01g,Gaming,105.0,126409,1792,0,105,2023-11-07T11:03:20.193067,https://i.ytimg.com/vi/CNn30HQ3T7A/hqdefault.jpg,"https://en.wikipedia.org/wiki/Association_football, https://en.wikipedia.org/wiki/Sport",CNn30HQ3T7A,well in 2011 oh my god that was our stuff that stuff I mean we played against Germany and with Belgium in 2011 it was for the first game of the qualifiers for the European Championships of 2012 and we played against Germany and they played the complete game the complete game that close as a striker they had Podolski left pollutant miller on the right shrine Steiger and Qadir at midfield I mean it was ours I was real strong I was 17 back then and I started the game and I was saying to kept after the game I said this is the most complete magazine it was tough he always played forward and in the right space and it was there at the right time he never missed touch he was creating creating constantly so every time when he got the ball you would know he will never play back you always played forward to a winger so he could cross a ball first time or to the striker so he was in first time so it was surprising it was surprising that like throughout the game he'd never played back backwards once he got the ball in the last 30 yard it was like his brains not a ticket it was nice it was nice
Kim Jong Un leading to North Korean military meeting,"North Korean leader Kim Jong Un held a meeting with senior military officials on Monday, April 10, 2023. The local media office reported that the meeting discussed strategic steps to expand and strengthen war prevention.The meeting also focused on the DPRK military choice more clearly and made a thorough preparation to switch to strong practical actions.DPRK is an abbreviation of the Democratic Republic of the Korean people, the official name of North Korea.


The meeting took place only a month after a meeting similar to high military officials with Kim.This meeting was more emphasized on Pyongyang's current criticism of US and South Korean joint military exercises.The KCNA report said that the meeting confirmed that the aggressive military policies and actions of the US Imperialist and the South Korean traitor doll emerged as a threatening entity.North Korea routinely complains of US and South Korean military exercises.


Pyongyang usually does not hold military training with other countries.But has published a series of missile tests and weapons recently, and continue to emphasize abilities


Scriptwriter: Elisabeth Putri Mulia
Narrator: Elisabeth Putri Mulia
Video Editor: Ragil Listianto
Producer: Firzha Ananda Putri


Music: Topic - Aakash Gandhi


#Koreautara #kimjongun #jerkanhaparapan",2023-04-11T13:50:53Z,UCPAxpUn1mrn14xU0JpsLhDg,News & Politics,124.0,43609,390,0,106,2023-11-07T11:03:20.256069,https://i.ytimg.com/vi/kUEhyLaDcA4/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",kUEhyLaDcA4,"North Korean leader Kim Jong-un has just chaired a meeting with senior Pyongyang military officials. The meeting between Kim and senior military officials was held on Monday, April 10, 2023. The local news agency reported that the meeting discussed strategic steps that North Korea would take to strengthen its prevention of war in  At the meeting, Kim also raised the issue of options that must be taken by North Korea to make more thorough preparations and more practical actions. This was the second meeting between Kim and North Korea's top military officials after previously holding the same meeting about a month ago in addition to discussing North Korea's preparations.  facing the threat of war, the game also talks about Pyongyang's concerns about joint military exercises between the United States and the United States [Music] North Korea considers the policies and military actions of the United States and South Korea to be aggressive and threatening military actions. North Korea always complains every time the United States and the console hold Pyongyang has recently increased the intensity of North Korea's series of missile tests and seems to show the world the capabilities of Pyongyang's nuclear weapons [Music] [ Music] [Music]"
"Prabowo met his ex -commander, this was discussed","General Chairman of the Gerindra Party Prabowo Subianto to stay in touch and visit the former Commander of the Special Forces Command (Kopassus), General (Ret.) Subagyo Hadi Siswoyo who was recently less fit.

Prabowo visited his ex -commander in the red beret corps LDI Subayo's residence in Yogyakarta, Sunday (8/5/2022).

During the warm meeting, Prabowo and Subagyo prayed for each other.

In fact, Subagyo prayed for Prabowo to become President of Indonesia.

Check out in full in the following video.

Author: Achmad Nasrudin Yahya
Scriptwriter: Fathira Deiza A
Narrator: Fathira Deiza A
Video Editor: Farah Chaerunniza
Producer: Adisty Safitri

#Prabowosubianto #Jerantanhapan",2022-05-09T04:27:03Z,UCPAxpUn1mrn14xU0JpsLhDg,News & Politics,130.0,545399,1012,0,106,2023-11-07T11:03:20.261067,https://i.ytimg.com/vi/jm8ZsGvwn-g/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",jm8ZsGvwn-g,"[Music] wow, friend of kompas.com, the general chairman of the Gerindra party, Prabowo Subianto, visited the former commander of the Special Forces Command or Kopassus, General Subagyo Hadisiswoyo, who recently was not fit. Prabowo visited his former commander in the Red Beret Corps at Subagyo's residence in Yogyakarta on Sunday 8  In May 2012, Prabowo and Subagyo prayed for each other. Dik [Musik] wuih Subagyo hadisiswoyo was Danjen Kopassus who served from September 1964 to December 1995, who was then replaced by Prabowo as also the Chief of Staff of the Army or the 20th Army Chief of Staff. Prabowo also gave encouragement.  to the former member of the presidential advisory council in President Joko Widodo's first term so that he would always be healthy, meanwhile he also prayed for Prabowo to become president towards the end of the meeting. Prabowo and Subagyo HS took a photo with him shaking hands in front of a photo of the great General Sudirman No [Music] Woman Cat"
"Free from prison, Anas Urbaningrum is thought to have a heartache and can 'attack' Democrats","Read more: https://video.tribunnews.com/View/593084/bebas-dar-penjara-anas-anbaningrum-apirakan-punya-rasa-sakit heart-and-and-can-berang-Demokrat

TRIBUN-VIDEO.COM - Ahead of Anas Urbaningrum's freedom, many speculations have emerged related to the former Democratic Chairperson.

The latest, Anas is called preparing a surprise speech and alludes to have a special agenda with the Chairman of the Democratic High Council Susilo Bambang Yudhoyono (SBY).

Related to this, Anas is expected to still have heartache and will turn around attacking the Democratic Party.

Reported by Tribunnews, this was conveyed by the political observer of Al Azhar University Ujang Komarudin when confirmed on Monday (10/4).

According to Ujang, Anas was certainly hurt because it was imprisoned for the Hambalang corruption case.

""Anas could be reversed to interfere with attacking the Democrats. I still see him his name imprisoned how not hurt, how to be silent, will definitely move,"" said Al Azhar University Political Observer, Ujang Komaruddin when confirmed, Monday (10/4/2023).

He said that Anas's freedom would disturb the Democratic Party.

Because the party has dragged Anas into prison.

""The most Democrats will feel disturbed by Anas's free. Because after all Anas was imprisoned, however because of the Democratic Party,"" Ujang said.

Anas is said to still have a mass base to be able to attack Democrats.

This is evident from the establishment of the Nusantara Awakening Party (PKN) which is the basis of Anas's mass.

For this reason, Ujang requested that the Democratic Party be relaxed regarding Anas's free.

Even so, Democrats could be offensive if Anas later issued his attack.

""It should be cool, just relax, don't panic like that. Unless Anas opens a new Democratic case, it can be an offensive Democrats. Just relax, just COOL.he concluded.

Previously, the National Coordinator of Friends of Anas, Muhammad Rahmad stated that the former Democratic Chairman would give a surprise in his speech after prison.

Rahmad also said Anas had a special agenda with SBY.

(TRIBUNVIDEO.COM)

This article has been aired on Tribunnews.com with the title Anas Urbaningrum predicted to be hurt and will turn around the Democrat Serang after tomorrow, https://www.tribunnews.com/nasional/2023/04/10/anas-ananbaningrum-dipredi-kit-Hati-and-Pacal-reversed-in-sigh-democrat-after-free-free.
Author: Igman Ibrahim
Editor: Adi Suhendi

VP: Nur Rohman Urip
Host: Sisca Mawaski

#Beritaterbaru #beritaterkini #beritaViral #live #breakingnews",2023-04-11T00:35:17Z,UCmxAIW7RDDC88EPk4ry16Kg,News & Politics,99.0,33318,146,0,101,2023-11-07T11:03:20.210064,https://i.ytimg.com/vi/XwuSSxhHnwQ/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",XwuSSxhHnwQ,"[Music] Ahead of Anas Ubaningrum's freedom, a lot of speculation has emerged regarding the former chairman of the Democrats. Most recently, Anas is said to be preparing a surprise and offensive speech. He has a special agenda with the Chairman of the Democratic High Council, Susilo Bambang Yudhoyono. In this regard, Anas is thought to still be hurt and will turn to attack This was conveyed by Al Azhar University political observer Ujang Komarudin when confirmed by the Democratic Party on Monday, April 10. According to Ujang Anas, of course he was hurt because he was imprisoned for the Hambalang corruption case. He said that Anas' freedom would disturb the Democratic Party because it was the party that had dragged Anas into it.  It is said that the prison still has a mass base to be able to attack the Democrats. This is proven by the establishment of the Nusantara Awakening Party or PKN, which became Anas's base. For this reason, Ujang asked the Democratic Party to be relaxed regarding Anas' release, even though the Democrats could be offensive if Anas later launched his attack.  Previously, the national coordinator, Anna's best friend, Mamat Rahmat, stated that"
"Send weapons to help Ukraine, Slovakia suspicious of Russian technicians deliberately damaged MiG-29 fighter jets","International News: https://kaltim.tribunnews.com/topic/berita-international-terkini

Slovakia suspects that the MiG-29 fighter jet that will be donated to the Ukraine army has been saved by Russia.
Russian technicians who previously cared for the aircraft were estimated to have 'work on' before being submitted to Ukraine.
This was revealed by Defense Minister Slovakia Jaroslav NAD 'on Friday (7/4/2023).

Nad's statement emerged after former Prime Minister Slovakia Robert Fico criticized the government in Bratislava for handing over the valuable plane to Kiev.
Slovakia retired the MiG-29 fighter fleet last summer because most of the aircraft did not operate.
Last month, the Slovakia government announced it would provide 10 MIGs with engine and three other machines without an engine to Ukraine forces.
Four jet has been sent and patrolling in the sky above Kharkov, according to Ukraine officials, while the other nine is expected to arrive in the near future.
However, Nad 'now shows that the jet may be deliberately damaged by Russian technicians who have worked on a plane at Sliac Air Base in Slovakia until last year.
He added that while the investigation failed to prove the bad intentions of the engineers, the Ministry of Defense ""felt lost confidence in Russian technicians"" because mistakes continued to emerge ""in places they can only do.""
The former Slovakia's highest pilot, Lubomir Svoboda, also stated that there was a ""bad"" work on the jet.
The Russian Embassy in Slovakia, meanwhile, has criticized officials for sending a jet to Ukraine, on the grounds that the step is ""illegal"" because it requires Moscow's approval based on a bilateral agreement.
He also warned that such shipping could cause ""escalation of conflict that could not be predicted and dangerous.""
Kremlin spokesman Dmitry Peskov has stated that the MiG-29 will be destroyed by Russian troops such as other western weapons sent to the country.
Peskov also said he got the impression that the Allied Kiev uses Ukraine only to ""discard old hardware that they don't need anymore.""
Peskov added that it would not affect the results of Russian military operations but instead could cause additional suffering for Ukraine himself and its people.
MiG-29 was designed in the 1970s and began operating in the 1980s.
Warsaw's plan to move four fighters to Kiev ""in the next few days"" was announced by Prime Minister Mateusz Morawiecki earlier this week.
This makes the first NATO State Poland that promises fighter aircraft to Ukraine.
The country has 28 MIG-29, but it is unclear how many of them are in working conditions, because the country has tried to renew its air forces with US and South Korean fighter aircraft.
Slovakia, who is also a member of NATO, announced on Friday that they would send 13 MIGs to Kiev.
However, the jet retired last year, and several reports stated that most were not in operational conditions. (*)

Editor: FZ",2023-04-09T15:43:33Z,UCr8WCDMH5PpPq6uUxHg5A7w,News & Politics,205.0,65966,465,0,101,2023-11-07T11:03:20.323065,https://i.ytimg.com/vi/W5-arXxJO98/hqdefault.jpg,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",W5-arXxJO98,"Slovakia suspects that the MiG29 fighter jets that will be given to the Ukrainian army have been sabotaged by Russia. The Russian technicians who previously maintained the planes are thought to have worked on them first before they were handed over to Ukraine. This was revealed by the Slovak Minister of Defense Jaros Love Nat on Friday 7 April 2023 statement note  comes after former Slovak Prime Minister Robert Vico criticized the government in Bratis Lava for handing over the valuable aircraft shocked Slovakia momentarily retired its fleet of mig29 fighter jets last summer because most of the planes were out of service last month the Slovak government announced that it would deliver 10 seasoned migs and 3 others without engines to Ukrainian troops some have been delivered and are patrolling the skies on carpets according to Ukrainian officials while another 9 are expected to arrive in the near future but records now suggest that the substances may have been deliberately tampered with by Russian technicians who have been working on the planes at each air base in Slovakia until last year he added that while the investigation failed to prove any bad intentions on the part of the Ministry of Defense Engineers were losing confidence in Russian technicians as errors continued to appear in places they could only watch Slovakia's highest ranking pilot lugomir swaboda also stated there was poor workmanship on the jet  The Russian embassy in Slovakia has meanwhile criticized officials for sending the chats to Ukraine, arguing that the move is illegal because it requires Moscow's approval under bilateral agreements. It also warned that such sendings could lead to an unpredictable and dangerous escalation of the conflict. Spokesman Dimitri may pescov has stated that the mig29 will be destroyed by russian forces like other western weapons sent to the country pescov has also said he is under the impression that the gif allies are using ukraine only to dump hardware as long as they no longer need periscope adding that it will not affect the outcome Russian military operations but otherwise could cause additional suffering for Ukraine itself and its people mig29 was designed in the 1970s and entered service in the 1980s Warsaw's plan to move 4 fighters to gif in the next few days was announced by Prime Minister mateus morawissky earlier this week  making Poland the first NATO country to promise fighter aircraft to Ukraine the country has 28 mig29s but it is unclear How many of them are in working condition as the country has been trying to update its air force with US and South Korean made fighters Slovakia which is also a NATO transport announced that  Friday that they would send 13 mig to gif but the substance was retired last year and some reports state that most are not in operational condition"
